Speaker_Name,Speech_Date,Speech_Title,Speech_URL
Derville Rowland,30 November 2023,"

                                Private Assets: A changing European landscape - remarks by Deputy Governor Derville Rowland at the Irish Funds, 10th Annual UK Symposium

                            ",https://www.centralbank.ie/news/article/private-assets--a-changing-european-landscape---remarks-by-deputy-governor-derville-rowland-at-the-irish-funds--10th-annual-uk-symposium
Patricia-Dunne_testimonial_756x350,28 November 2023,"

                                ""Navigating Market Abuse and Regulatory Surveillance"" - Remarks by Patricia Dunne, Director of Securities and Markets Supervision at the Bloomberg Vault and CBI Seminar

                            ",https://www.centralbank.ie/news/article/remarks-by-patricia-dunne-director-of-securities-and-markets-supervision-at-the-bloomberg-event
Gabriel Makhlouf,23 November 2023,"

                                Opening remarks at Financial Stability Review press conference – Governor Gabriel Makhlouf

                            ",https://www.centralbank.ie/news/article/opening-remarks-financial-stability-review-press-conference-governor-makhlouf-23-november-2023
Gerry Cross,23 November 2023,"

                                “Implementing DORA” - Remarks by Gerry Cross, Director of Financial Regulation – Policy and Risk

                            ",https://www.centralbank.ie/news/article/speech-implementing-dora-speech-by-gerry-cross--director-of-financial-regulation-policy-and-risk-23-nov-2023
Sharon Donnery,21 November 2023,"

                                ""Walking the path – the transition to Net-Zero"" -&nbsp; Remarks by Deputy Governor Sharon Donnery at Climate Finance Week

                            ",https://www.centralbank.ie/news/article/speech-sharon-donnerywalking-the-path-the-transition-to-net-zero-21-november-2023
Sharon Donnery,14 November 2023,"

                                “Maintaining stability in the face of volatility – financial regulation in a rapidly changing world” - Remarks by Deputy Governor Sharon Donnery at The Compliance Institute annual conference

                            ",https://www.centralbank.ie/news/article/maintaining-stability-in-the-face-of-volatility-financial-regulation-in-a-rapidly-changing-world-remarks-by-sharon-donnery
Gabriel Makhlouf,11 November 2023,"

                                “The changing landscape for financial services”
Remarks by Gabriel Makhlouf, Governor of the Central Bank of Ireland 
At the Irish League Credit Unions Conference

                            ",https://www.centralbank.ie/news/article/the-changing-landscape-for-financial-services--remarks-by-gabriel-makhlouf--governor-of-the-central-bank-of-ireland--at-the-irish-league-credit-unions-conference
Patricia-Dunne_testimonial_756x350,09 November 2023,"

                                “An evolving supervisory approach in the funds sector” - Remarks by Patricia Dunne, Director of Securities and Markets Supervision at the Irish Funds Asset Manager Forum

                            ",https://www.centralbank.ie/news/article/evolving-supervisory-approach-funds-sector-remarks-by-patricia-dunne-at-irish-funds-asset-manager-forum-9-november-2023
Gabriel Makhlouf,08 November 2023,"

                                Putting principles into practice: how regulation responds to change - Remarks by Governor Makhlouf at the Financial System Conference

                            ",https://www.centralbank.ie/news/article/gabriel-makhlouf-financial-system-conference-8-november-2023
Colm Kincaid,26 October 2023,"

                                New Frontiers in Business Ethics - Remarks by Colm Kincaid, Director of Consumer Protection

                            ",https://www.centralbank.ie/news/article/speech-new-frontiers-in-business-ethics-colm-kincaid-director-of-consumer-protection-26-october-2023
Derville Rowland,28 September 2023,"

                                Dynamic change in uncertain times: Balancing opportunity and risk- Remarks by Derville Rowland, Deputy Governor Consumer and Investor Protection

                            ",https://www.centralbank.ie/news/article/dynamic-change-in-uncertain-times--balancing-opportunity-and-risk--remarks-by-derville-rowland--deputy-governor-consumer-and-investor-protection
Patricia-Dunne_testimonial_756x350,27 September 2023,"

                                Sustainable Finance in Practice for Fund Managers - Remarks by Patricia Dunne, Director of Securities and Markets Supervision

                            ",https://www.centralbank.ie/news/article/speech-sustainable-finance-in-practice-for-fund-managers-remarks-by-patricia-dunne--director-of-securities-and-markets-supervision-27-sep-2023
Vasileios Madouros,22 September 2023,"

                                Managing domestic risks in an uncertain world -&nbsp; Vasileios Madouros, Deputy Governor, Monetary and Financial Stability

                            ",https://www.centralbank.ie/news/article/managing-domestic-risks-in-an-uncertain-world-vasileios-madouros-deputy-governor-22-september-2023
Gabriel Makhlouf,21 September 2023,"

                                Labour market dynamics and the inflation outlook - Remarks by Governor Gabriel Makhlouf at University of Galway

                            ",https://www.centralbank.ie/news/article/speech-labour-market-dynamics-and-the-inflation-outlook-remarks-governor-makhlouf-university-galway-21-sept-2023
Gabriel Makhlouf,20 September 2023,"

                                Opening Statement by Governor Gabriel Makhlouf at the Joint Oireachtas Committee on Finance, Public Expenditure and Reform, and Taoiseach

                            ",https://www.centralbank.ie/news/article/opening-statement-governor-makhlouf-at-joint-oireachtas-committee-on-finance-21-setpember-2023
Testimonila_RobKelly_756x350,19 September 2023,"

                                Opening Statement by Robert Kelly, Director of Economics &amp; Statistics, at the Oireachtas Committee on Budgetary Oversight

                            ",https://www.centralbank.ie/news/article/opening-statement-by-robert-kelly-at-committee-on-budgetary-oversight-19-september-2023
Vasileios Madouros,01 September 2023,"

                                Navigating the risks of geo-economic fragmentation - remarks by Vasileios Madouros, Deputy Governor, Monetary and Financial Stability

                            ",https://www.centralbank.ie/news/article/navigating-risks-geo-economic-fragmentation-remarks-vasileios-madouros-deputy-governor-1-september-2023
Colm Kincaid,12 July 2023,"

                                Opening remarks by Director of Consumer Protection, Colm Kincaid, at Oireachtas Committee on Finance, Public Expenditure and Reform, and Taoiseach

                            ",https://www.centralbank.ie/news/article/speech-opening-remarks-by-director-of-consumer-protection-colm-kincaid-at-oireachtas-committee-on-finance-public-expenditure-and-reform-and-taoiseach-12-Jul-2023
Seana Cunningham,05 July 2023,"

                                Enhancements to the Central Bank’s Administrative Sanctions Procedure - Remarks by Seána Cunningham, Director of Enforcement &amp; Anti-Money Laundering

                            ",https://www.centralbank.ie/news/article/speech-enhancements-to-administrative-sanctions-procedure-seana-cunningham-05-july-2023
Vasileios Madouros,29 June 2023,"

                                Corporate Performance and resilience in a high inflation environment - remarks by Vasileios Madouros, Deputy Governor, Monetary and Financial Stability

                            ",https://www.centralbank.ie/news/article/corporate-performance-and-resilience-in-a-high-inflation-environment---remarks-by-vasileios-madouros-deputy-governor-monetary-and-financial-stability
Gerry Cross,22 June 2023,"

                                Insurance, regulation, and the transition to a net zero economy – Remarks by Gerry Cross, Director of Financial Regulation, Policy &amp; Risk

                            ",https://www.centralbank.ie/news/article/speech-insurance-regulation-and-the-transition-to-a-net-zero-economy-remarks-by-gerry-cross-director-financial-regulation-policy-and-risk-22-jun-2023
Sharon Donnery,12 June 2023,"

                                “Much done, much more to do – climate risks and the banking sector” – Remarks by Deputy Governor Sharon Donnery

                            ",https://www.centralbank.ie/news/article/much-done-much-more-to-do-climate-risks-and-the-banking-sector-remarks-by-deputy-governor-sharon-donnery-12-june-2023
Governor Gabriel Makhlouf,07 June 2023,"

                                Opening address Financial Stability Review 2023:I – Governor Gabriel Makhlouf

                            ",https://www.centralbank.ie/news/article/speech-opening-address-financial-stability-review-2023-i-governor-gabriel-makhlouf
Gerry Cross,01 June 2023,"

                                The Individual Accountability Framework: What it means for Directors - Remarks by Gerry Cross, Director of Financial Regulation, Policy &amp; Risk

                            ",https://www.centralbank.ie/news/article/speech-individual-accountability-framework-what-it-means-for-directors-gerry-cross-1-june-2023
